f0_,status,f1_
10h 51,refunded,2
10h 51,approved,369
10h 52,approved,348
10h 52,reversed,2
10h 52,denied,50
10h 52,refunded,2
10h 53,denied,49
10h 53,approved,367
10h 53,echo,3
10h 53,reversed,2
10h 54,denied,41
10h 54,reversed,6
10h 54,approved,394
10h 54,refunded,2
10h 55,approved,408
10h 55,refunded,1
10h 55,denied,41
10h 55,reversed,3
10h 56,approved,373
10h 56,denied,46
10h 56,reversed,1
10h 57,refunded,1
10h 57,denied,38
10h 57,approved,372
10h 57,reversed,2
10h 57,backend_reversed,1
10h 58,reversed,3
10h 58,denied,32
10h 58,approved,360
10h 58,refunded,3
10h 59,reversed,3
10h 59,denied,42
10h 59,backend_reversed,1
10h 59,approved,404
10h 59,refunded,1
11h 00,denied,36
11h 00,backend_reversed,2
11h 00,reversed,3
11h 00,refunded,1
11h 00,approved,367
11h 01,reversed,1
11h 01,refunded,3
11h 01,approved,373
11h 01,denied,45
11h 02,denied,47
11h 02,refunded,1
11h 02,approved,416
11h 02,reversed,2
11h 03,refunded,1
11h 03,reversed,8
11h 03,denied,35
11h 03,approved,374
11h 04,denied,46
11h 04,approved,409
11h 04,reversed,3
11h 05,reversed,3
11h 05,backend_reversed,1
11h 05,approved,400
11h 05,denied,37
11h 06,denied,53
11h 06,reversed,4
11h 06,approved,385
11h 07,echo,3
11h 07,denied,43
11h 07,reversed,6
11h 07,approved,360
11h 08,denied,35
11h 08,reversed,4
11h 08,approved,348
11h 08,refunded,3
11h 09,approved,360
11h 09,denied,46
11h 10,refunded,1
11h 10,denied,48
11h 10,reversed,2
11h 10,approved,385
11h 11,denied,49
11h 11,refunded,1
11h 11,approved,410
11h 11,backend_reversed,1
11h 12,denied,54
11h 12,reversed,2
11h 12,approved,392
11h 13,approved,416
11h 13,backend_reversed,2
11h 13,denied,32
11h 13,reversed,3
11h 13,refunded,1
11h 14,denied,47
11h 14,refunded,1
11h 14,backend_reversed,2
11h 14,approved,379
11h 14,reversed,3
11h 15,denied,48
11h 15,reversed,3
11h 15,approved,357
11h 15,backend_reversed,6
11h 16,backend_reversed,2
11h 16,refunded,1
11h 16,approved,408
11h 16,reversed,5
11h 16,denied,48
11h 17,denied,41
11h 17,approved,380
11h 17,backend_reversed,5
11h 17,refunded,1
11h 18,refunded,2
11h 18,reversed,3
11h 18,denied,50
11h 18,backend_reversed,4
11h 18,approved,369
11h 19,reversed,2
11h 19,approved,377
11h 19,denied,42
11h 20,refunded,2
11h 20,approved,392
11h 20,reversed,2
11h 20,denied,36
11h 21,refunded,1
11h 21,backend_reversed,2
11h 21,reversed,3
11h 21,approved,346
11h 21,denied,42
11h 22,approved,367
11h 22,denied,47
11h 22,refunded,2
11h 22,reversed,3
11h 22,echo,3
11h 23,approved,344
11h 23,denied,51
11h 23,refunded,1
11h 23,reversed,2
11h 24,backend_reversed,1
11h 24,approved,386
11h 24,denied,41
11h 24,reversed,3
11h 25,denied,49
11h 25,reversed,2
11h 25,approved,388
11h 25,refunded,2
11h 26,approved,360
11h 26,processing,3
11h 26,denied,36
11h 26,reversed,4
11h 26,refunded,1
11h 27,denied,41
11h 27,approved,429
11h 27,reversed,4
11h 28,denied,48
11h 28,approved,360
11h 28,reversed,3
11h 29,approved,354
11h 29,reversed,5
11h 29,refunded,1
11h 29,backend_reversed,1
11h 29,denied,39
11h 30,denied,38
11h 30,reversed,3
11h 30,backend_reversed,1
11h 30,approved,375
11h 30,refunded,1
11h 31,reversed,1
11h 31,approved,384
11h 31,refunded,1
11h 31,denied,39
11h 32,approved,358
11h 32,denied,47
11h 32,reversed,2
11h 32,refunded,2
11h 33,denied,45
11h 33,approved,369
11h 34,refunded,3
11h 34,reversed,1
11h 34,approved,390
11h 34,denied,43
11h 35,denied,48
11h 35,reversed,3
11h 35,backend_reversed,1
11h 35,approved,372
11h 35,refunded,1
11h 36,denied,50
11h 36,approved,414
11h 36,reversed,3
11h 37,reversed,1
11h 37,denied,29
11h 37,echo,3
11h 37,approved,407
11h 38,approved,392
11h 38,denied,38
11h 38,reversed,2
11h 39,approved,379
11h 39,denied,33
11h 39,reversed,1
11h 39,refunded,2
11h 40,approved,349
11h 40,denied,40
11h 41,refunded,2
11h 41,reversed,4
11h 41,denied,43
11h 41,approved,365
11h 41,backend_reversed,1
11h 42,backend_reversed,1
11h 42,denied,42
11h 42,refunded,2
11h 42,approved,369
11h 43,denied,40
11h 43,reversed,2
11h 43,approved,350
11h 44,denied,42
11h 44,reversed,4
11h 44,approved,402
11h 44,refunded,3
11h 44,backend_reversed,1
11h 45,reversed,1
11h 45,refunded,2
11h 45,approved,395
11h 45,denied,35
11h 46,denied,43
11h 46,approved,403
11h 46,refunded,2
11h 46,reversed,2
11h 47,backend_reversed,1
11h 47,refunded,1
11h 47,denied,44
11h 47,approved,362
11h 47,reversed,2
11h 48,backend_reversed,1
11h 48,reversed,1
11h 48,denied,39
11h 48,approved,391
11h 49,approved,360
11h 49,reversed,3
11h 49,denied,46
11h 50,denied,46
11h 50,reversed,3
11h 50,refunded,1
11h 50,approved,377
11h 50,backend_reversed,1
11h 51,denied,43
11h 51,approved,344
11h 51,reversed,3
11h 52,approved,366
11h 52,denied,56
11h 52,reversed,1
11h 52,refunded,2
11h 53,reversed,1
11h 53,echo,3
11h 53,approved,376
11h 53,denied,45
11h 54,echo,3
11h 54,reversed,7
11h 54,backend_reversed,2
11h 54,denied,55
11h 54,refunded,2
11h 54,approved,349
11h 55,denied,50
11h 55,approved,341
11h 55,backend_reversed,1
11h 55,reversed,2
11h 56,denied,44
11h 56,refunded,3
11h 56,approved,357
11h 57,approved,352
11h 57,denied,40
11h 57,backend_reversed,1
11h 57,reversed,3
11h 58,reversed,2
11h 58,approved,343
11h 58,denied,40
11h 59,reversed,1
11h 59,denied,36
11h 59,approved,341
11h 59,refunded,1
12h 00,reversed,2
12h 00,approved,360
12h 00,denied,42
12h 01,approved,335
12h 01,denied,32
12h 01,reversed,2
12h 02,denied,38
12h 02,reversed,1
12h 02,refunded,1
12h 02,approved,348
12h 03,refunded,2
12h 03,denied,43
12h 03,reversed,7
12h 03,approved,362
12h 04,refunded,1
12h 04,approved,378
12h 04,denied,38
12h 05,denied,54
12h 05,approved,331
12h 05,reversed,2
12h 05,refunded,1
12h 06,denied,48
12h 06,reversed,5
12h 06,approved,333
12h 06,refunded,1
12h 07,denied,37
12h 07,reversed,2
12h 07,approved,332
12h 08,approved,337
12h 08,refunded,2
12h 08,denied,39
12h 08,echo,3
12h 08,reversed,1
12h 09,reversed,4
12h 09,denied,45
12h 09,approved,335
12h 10,denied,36
12h 10,refunded,2
12h 10,approved,315
12h 10,reversed,1
12h 11,denied,50
12h 11,reversed,2
12h 11,approved,348
12h 12,denied,44
12h 12,reversed,1
12h 12,approved,365
12h 13,denied,43
12h 13,refunded,2
12h 13,reversed,1
12h 13,approved,344
12h 14,approved,300
12h 14,reversed,2
12h 14,denied,34
12h 15,denied,37
12h 15,reversed,2
12h 15,approved,305
12h 16,denied,39
12h 16,reversed,3
12h 16,approved,344
12h 17,refunded,2
12h 17,reversed,2
12h 17,approved,324
12h 17,denied,26
12h 18,denied,28
12h 18,approved,293
12h 18,reversed,2
12h 19,reversed,2
12h 19,backend_reversed,1
12h 19,approved,329
12h 19,denied,33
12h 20,approved,311
12h 20,denied,41
12h 20,reversed,2
12h 21,approved,292
12h 21,reversed,3
12h 21,denied,34
12h 21,backend_reversed,1
12h 21,refunded,1
12h 22,echo,3
12h 22,backend_reversed,1
12h 22,approved,281
12h 22,denied,37
12h 22,reversed,2
12h 23,denied,37
12h 23,backend_reversed,1
12h 23,approved,301
12h 23,refunded,1
12h 24,reversed,1
12h 24,approved,330
12h 24,backend_reversed,1
12h 24,denied,44
12h 25,reversed,1
12h 25,refunded,1
12h 25,approved,309
12h 25,denied,26
12h 26,denied,26
12h 26,refunded,2
12h 26,approved,316
12h 27,denied,34
12h 27,approved,305
12h 27,reversed,3
12h 27,refunded,1
12h 28,reversed,1
12h 28,approved,291
12h 28,denied,29
12h 29,backend_reversed,1
12h 29,approved,313
12h 29,reversed,2
12h 29,denied,43
12h 30,approved,316
12h 30,denied,27
12h 30,reversed,2
12h 31,approved,285
12h 31,denied,38
12h 32,approved,308
12h 32,denied,34
12h 32,reversed,1
12h 32,refunded,1
12h 33,backend_reversed,1
12h 33,denied,27
12h 33,approved,288
12h 33,refunded,1
12h 33,reversed,1
12h 34,approved,274
12h 34,reversed,1
12h 34,refunded,1
12h 34,denied,37
12h 35,reversed,2
12h 35,denied,45
12h 35,approved,299
12h 35,backend_reversed,1
12h 36,refunded,1
12h 36,approved,280
12h 36,denied,38
12h 37,denied,35
12h 37,approved,267
12h 37,echo,3
12h 37,reversed,1
12h 38,approved,269
12h 38,denied,31
12h 38,refunded,2
12h 38,reversed,2
12h 39,reversed,1
12h 39,denied,30
12h 39,approved,293
12h 39,refunded,2
12h 40,approved,280
12h 40,refunded,2
12h 40,denied,20
12h 41,approved,274
12h 41,denied,26
12h 41,refunded,1
12h 41,reversed,1
12h 42,approved,296
12h 42,denied,28
12h 42,refunded,1
12h 43,reversed,1
12h 43,denied,36
12h 43,approved,271
12h 44,approved,284
12h 44,denied,34
12h 45,denied,28
12h 45,approved,298
12h 45,refunded,2
12h 45,reversed,1
12h 46,denied,36
12h 46,approved,294
12h 47,approved,254
12h 47,denied,31
12h 48,denied,26
12h 48,refunded,1
12h 48,reversed,1
12h 48,approved,312
12h 49,approved,278
12h 49,denied,28
12h 49,reversed,1
12h 50,approved,242
12h 50,denied,20
12h 50,reversed,2
12h 51,denied,19
12h 51,approved,284
12h 51,refunded,2
12h 52,reversed,1
12h 52,approved,287
12h 52,denied,27
12h 53,approved,289
12h 53,reversed,1
12h 53,denied,22
12h 53,echo,3
12h 54,refunded,1
12h 54,denied,28
12h 54,approved,318
12h 55,approved,287
12h 55,denied,25
12h 56,denied,22
12h 56,reversed,1
12h 56,approved,272
12h 57,reversed,2
12h 57,refunded,3
12h 57,approved,265
12h 57,denied,24
12h 58,denied,35
12h 58,approved,281
12h 58,reversed,1
12h 58,refunded,1
12h 59,approved,264
12h 59,reversed,1
12h 59,denied,31
13h 00,denied,34
13h 00,approved,290
13h 00,reversed,2
13h 01,approved,274
13h 01,denied,24
13h 01,reversed,2
13h 01,refunded,1
13h 02,approved,287
13h 02,refunded,1
13h 02,reversed,1
13h 02,denied,32
13h 03,denied,33
13h 03,approved,257
13h 04,approved,285
13h 04,denied,35
13h 04,backend_reversed,1
13h 05,approved,307
13h 05,denied,35
13h 05,refunded,1
13h 05,reversed,2
13h 06,denied,34
13h 06,reversed,1
13h 06,refunded,4
13h 06,approved,276
13h 07,backend_reversed,1
13h 07,approved,304
13h 07,refunded,3
13h 07,reversed,1
13h 07,denied,40
13h 07,echo,3
13h 08,denied,27
13h 08,backend_reversed,1
13h 08,refunded,1
13h 08,approved,299
13h 09,refunded,2
13h 09,denied,41
13h 09,approved,280
13h 09,reversed,3
13h 10,denied,35
13h 10,reversed,2
13h 10,refunded,2
13h 10,approved,281
13h 10,backend_reversed,1
13h 11,backend_reversed,1
13h 11,approved,278
13h 11,denied,32
13h 11,refunded,1
13h 12,approved,297
13h 12,reversed,1
13h 12,refunded,3
13h 12,backend_reversed,1
13h 12,denied,36
13h 13,denied,46
13h 13,reversed,1
13h 13,approved,270
13h 14,approved,280
13h 14,reversed,1
13h 14,denied,28
13h 14,refunded,2
13h 14,backend_reversed,1
13h 15,approved,298
13h 15,reversed,2
13h 15,denied,34
13h 15,refunded,2
13h 16,denied,38
13h 16,refunded,2
13h 16,reversed,1
13h 16,approved,304
13h 17,approved,272
13h 17,denied,31
13h 18,approved,298
13h 18,denied,35
13h 18,reversed,2
13h 19,denied,26
13h 19,backend_reversed,1
13h 19,approved,288
13h 19,reversed,1
13h 20,reversed,2
13h 20,denied,43
13h 20,backend_reversed,3
13h 20,approved,259
13h 21,refunded,1
13h 21,reversed,1
13h 21,denied,36
13h 21,backend_reversed,4
13h 21,approved,295
13h 22,denied,39
13h 22,approved,286
13h 22,reversed,3
13h 22,backend_reversed,1
13h 22,refunded,2
13h 23,approved,246
13h 23,denied,28
13h 23,echo,3
13h 24,reversed,1
13h 24,approved,302
13h 24,denied,29
13h 25,approved,260
13h 25,denied,34
13h 25,reversed,1
13h 26,approved,290
13h 26,refunded,2
13h 26,denied,39
13h 27,approved,285
13h 27,denied,25
13h 27,reversed,2
13h 28,approved,279
13h 28,reversed,1
13h 28,refunded,1
13h 28,denied,37
13h 29,denied,33
13h 29,refunded,3
13h 29,reversed,1
13h 29,approved,296
13h 30,approved,281
13h 30,denied,25
13h 30,reversed,2
13h 30,refunded,2
13h 31,approved,285
13h 31,denied,33
13h 32,approved,302
13h 32,reversed,1
13h 32,denied,28
13h 32,refunded,1
13h 33,approved,296
13h 33,denied,37
13h 34,reversed,2
13h 34,denied,31
13h 34,refunded,1
13h 34,approved,289
13h 35,refunded,1
13h 35,reversed,2
13h 35,approved,271
13h 35,denied,49
13h 35,backend_reversed,1
13h 36,refunded,1
13h 36,reversed,1
13h 36,denied,28
13h 36,approved,300
13h 37,echo,3
13h 37,reversed,3
13h 37,refunded,1
13h 37,denied,36
13h 37,backend_reversed,1
13h 37,approved,289
13h 38,denied,27
13h 38,approved,258
13h 38,reversed,4
13h 38,refunded,2
13h 39,reversed,1
13h 39,denied,35
13h 39,approved,283
13h 40,reversed,1
13h 40,denied,34
13h 40,approved,307
13h 40,refunded,1
13h 41,approved,290
13h 41,denied,40
13h 42,approved,299
13h 42,backend_reversed,1
13h 42,denied,28
13h 42,refunded,1
13h 43,denied,36
13h 43,approved,266
13h 43,refunded,1
13h 43,failed,1
13h 43,reversed,1
13h 44,denied,36
13h 44,refunded,2
13h 44,approved,286
13h 45,denied,26
13h 45,refunded,2
13h 45,failed,1
13h 45,reversed,1
13h 45,approved,354
13h 45,backend_reversed,1
13h 46,denied,32
13h 46,reversed,1
13h 46,approved,268
13h 47,denied,32
13h 47,reversed,2
13h 47,approved,303
13h 47,refunded,2
13h 48,approved,284
13h 48,denied,36
13h 48,reversed,7
13h 48,failed,1
13h 49,denied,46
13h 49,backend_reversed,1
13h 49,approved,275
13h 50,reversed,1
13h 50,approved,305
13h 50,denied,31
13h 51,refunded,3
13h 51,approved,289
13h 51,denied,35
13h 51,failed,1
13h 52,refunded,1
13h 52,backend_reversed,1
13h 52,approved,290
13h 52,reversed,1
13h 52,denied,39
13h 53,denied,44
13h 53,backend_reversed,2
13h 53,echo,3
13h 53,approved,313
13h 54,denied,34
13h 54,reversed,1
13h 54,approved,291
13h 55,backend_reversed,3
13h 55,denied,43
13h 55,approved,342
13h 55,reversed,2
13h 56,reversed,1
13h 56,approved,281
13h 56,backend_reversed,3
13h 56,denied,27
13h 57,approved,286
13h 57,reversed,1
13h 57,denied,33
13h 58,reversed,3
13h 58,refunded,1
13h 58,approved,310
13h 58,denied,32
13h 59,reversed,2
13h 59,denied,21
13h 59,refunded,1
13h 59,approved,326
13h 59,failed,1
14h 00,backend_reversed,1
14h 00,approved,264
14h 00,denied,32
14h 01,denied,35
14h 01,approved,274
14h 01,refunded,1
14h 01,reversed,2
14h 02,reversed,1
14h 02,denied,34
14h 02,approved,321
14h 03,approved,278
14h 03,failed,1
14h 03,reversed,4
14h 03,refunded,5
14h 03,denied,39
14h 04,denied,32
14h 04,refunded,4
14h 04,reversed,1
14h 04,approved,325
14h 05,approved,301
14h 05,denied,34
14h 05,reversed,3
14h 06,approved,310
14h 06,reversed,1
14h 06,denied,27
14h 07,refunded,1
14h 07,reversed,2
14h 07,denied,44
14h 07,echo,3
14h 07,approved,323
14h 08,denied,40
14h 08,approved,341
14h 08,reversed,1
14h 09,reversed,1
14h 09,refunded,3
14h 09,approved,314
14h 09,denied,37
14h 10,approved,347
14h 10,reversed,2
14h 10,denied,38
14h 11,denied,31
14h 11,refunded,2
14h 11,approved,300
14h 12,approved,294
14h 12,denied,35
14h 12,reversed,2
14h 13,reversed,2
14h 13,approved,326
14h 13,denied,40
14h 14,denied,24
14h 14,refunded,2
14h 14,approved,326
14h 15,approved,320
14h 15,refunded,1
14h 15,reversed,1
14h 15,denied,37
14h 16,approved,287
14h 16,denied,40
14h 17,denied,43
14h 17,approved,322
14h 17,reversed,1
14h 18,approved,313
14h 18,reversed,3
14h 18,denied,37
14h 18,refunded,2
14h 19,refunded,2
14h 19,approved,327
14h 19,denied,27
14h 20,approved,308
14h 20,backend_reversed,1
14h 20,denied,29
14h 20,refunded,1
14h 20,reversed,1
14h 21,approved,329
14h 21,reversed,3
14h 21,refunded,1
14h 21,denied,36
14h 22,denied,36
14h 22,backend_reversed,1
14h 22,reversed,3
14h 22,refunded,1
14h 22,approved,344
14h 23,echo,3
14h 23,approved,313
14h 23,denied,52
14h 23,reversed,1
14h 24,approved,334
14h 24,denied,37
14h 24,refunded,1
14h 25,denied,49
14h 25,reversed,1
14h 25,approved,343
14h 25,refunded,1
14h 26,approved,322
14h 26,reversed,3
14h 26,denied,47
14h 27,denied,36
14h 27,reversed,4
14h 27,refunded,1
14h 27,approved,307
14h 27,backend_reversed,1
14h 28,reversed,2
14h 28,denied,36
14h 28,refunded,1
14h 28,backend_reversed,1
14h 28,approved,363
14h 29,approved,322
14h 29,denied,34
14h 29,reversed,3
14h 29,refunded,3
14h 29,backend_reversed,2
14h 30,refunded,1
14h 30,denied,39
14h 30,reversed,2
14h 30,approved,318
14h 31,denied,39
14h 31,reversed,1
14h 31,approved,362
14h 31,backend_reversed,1
14h 32,backend_reversed,1
14h 32,reversed,3
14h 32,approved,343
14h 32,denied,36
14h 33,reversed,1
14h 33,denied,27
14h 33,approved,323
14h 34,approved,338
14h 34,reversed,1
14h 34,denied,33
14h 35,reversed,1
14h 35,denied,37
14h 35,approved,326
14h 36,approved,360
14h 36,refunded,2
14h 36,denied,41
14h 36,reversed,1
14h 37,approved,348
14h 37,echo,3
14h 37,denied,41
14h 37,reversed,3
14h 38,approved,309
14h 38,denied,47
14h 38,reversed,2
14h 39,denied,49
14h 39,refunded,1
14h 39,approved,362
14h 39,reversed,2
14h 40,denied,45
14h 40,reversed,1
14h 40,refunded,1
14h 40,approved,351
14h 41,reversed,1
14h 41,approved,355
14h 41,denied,43
14h 42,refunded,2
14h 42,denied,43
14h 42,approved,363
14h 42,reversed,4
14h 43,reversed,4
14h 43,approved,350
14h 43,denied,44
14h 43,refunded,1
14h 44,approved,379
14h 44,refunded,1
14h 44,denied,39
14h 44,reversed,4
14h 45,refunded,1
14h 45,reversed,2
14h 45,approved,345
14h 45,denied,39
14h 46,denied,42
14h 46,refunded,2
14h 46,approved,333
14h 47,refunded,1
14h 47,approved,365
14h 47,denied,46
14h 48,reversed,1
14h 48,denied,42
14h 48,approved,352
14h 49,approved,351
14h 49,reversed,1
14h 49,denied,51
14h 50,denied,40
14h 50,reversed,1
14h 50,approved,333
14h 51,approved,351
14h 51,backend_reversed,1
14h 51,reversed,2
14h 51,denied,36
14h 52,denied,44
14h 52,approved,340
14h 52,refunded,2
14h 52,reversed,2
14h 53,refunded,4
14h 53,reversed,1
14h 53,approved,372
14h 53,denied,42
14h 53,echo,3
14h 54,reversed,1
14h 54,approved,339
14h 54,refunded,1
14h 54,denied,47
14h 55,denied,43
14h 55,approved,326
14h 55,reversed,1
14h 55,backend_reversed,1
14h 56,denied,34
14h 56,reversed,3
14h 56,approved,362
14h 57,approved,336
14h 57,reversed,3
14h 57,refunded,2
14h 57,denied,34
14h 58,reversed,3
14h 58,backend_reversed,1
14h 58,denied,46
14h 58,approved,362
14h 58,refunded,1
14h 59,approved,371
14h 59,denied,31
14h 59,reversed,1
14h 59,refunded,1
15h 00,reversed,3
15h 00,denied,42
15h 00,approved,360
15h 01,approved,377
15h 01,denied,31
15h 01,refunded,1
15h 02,refunded,1
15h 02,reversed,2
15h 02,backend_reversed,1
15h 02,approved,379
15h 02,denied,44
15h 03,approved,359
15h 03,reversed,3
15h 03,denied,43
15h 04,denied,42
15h 04,approved,338
15h 05,reversed,5
15h 05,refunded,4
15h 05,approved,364
15h 05,denied,45
15h 06,approved,360
15h 06,denied,52
15h 06,reversed,4
15h 07,approved,338
15h 07,refunded,1
15h 07,denied,53
15h 07,reversed,2
15h 08,backend_reversed,2
15h 08,denied,46
15h 08,approved,376
15h 08,echo,3
15h 08,reversed,2
15h 09,refunded,1
15h 09,approved,361
15h 09,denied,37
15h 09,reversed,2
15h 10,approved,357
15h 10,reversed,2
15h 10,denied,35
15h 11,refunded,1
15h 11,approved,387
15h 11,denied,46
15h 12,reversed,1
15h 12,refunded,1
15h 12,approved,377
15h 12,denied,37
15h 13,reversed,1
15h 13,approved,347
15h 13,denied,56
15h 13,refunded,2
15h 14,processing,2
15h 14,denied,35
15h 14,backend_reversed,1
15h 14,approved,302
15h 14,reversed,10
15h 14,refunded,2
15h 15,reversed,3
15h 15,refunded,2
15h 15,approved,447
15h 15,denied,31
15h 16,reversed,5
15h 16,denied,34
15h 16,approved,418
15h 17,approved,389
15h 17,denied,46
15h 17,reversed,5
15h 18,denied,38
15h 18,refunded,2
15h 18,approved,384
15h 19,denied,39
15h 19,approved,388
15h 19,refunded,2
15h 20,reversed,2
15h 20,denied,40
15h 20,refunded,2
15h 20,approved,372
15h 21,denied,51
15h 21,approved,383
15h 21,refunded,2
15h 22,approved,390
15h 22,refunded,1
15h 22,backend_reversed,1
15h 22,reversed,4
15h 22,denied,48
15h 23,denied,50
15h 23,refunded,2
15h 23,approved,390
15h 23,reversed,3
15h 23,echo,3
15h 24,approved,400
15h 24,reversed,2
15h 24,denied,39
15h 25,refunded,3
15h 25,denied,44
15h 25,approved,400
15h 26,denied,41
15h 26,refunded,1
15h 26,reversed,2
15h 26,backend_reversed,1
15h 26,approved,383
15h 26,echo,3
15h 27,denied,57
15h 27,backend_reversed,1
15h 27,approved,401
15h 28,reversed,4
15h 28,denied,37
15h 28,refunded,1
15h 28,approved,384
15h 28,backend_reversed,2
15h 29,reversed,2
15h 29,approved,394
15h 29,denied,47
15h 30,reversed,3
15h 30,denied,48
15h 30,approved,386
15h 31,approved,377
15h 31,reversed,2
15h 31,denied,34
15h 32,denied,40
15h 32,reversed,1
15h 32,refunded,1
15h 32,approved,373
15h 33,refunded,1
15h 33,reversed,2
15h 33,backend_reversed,1
15h 33,denied,44
15h 33,approved,388
15h 34,denied,55
15h 34,backend_reversed,2
15h 34,refunded,1
15h 34,approved,367
15h 34,reversed,4
15h 35,denied,62
15h 35,approved,377
15h 35,refunded,1
15h 35,backend_reversed,1
15h 36,refunded,2
15h 36,approved,396
15h 36,denied,61
15h 37,denied,38
15h 37,refunded,1
15h 37,approved,397
15h 37,reversed,1
15h 38,approved,435
15h 38,refunded,2
15h 38,reversed,4
15h 38,denied,49
15h 39,denied,46
15h 39,approved,418
15h 40,reversed,1
15h 40,refunded,1
15h 40,denied,46
15h 40,approved,367
15h 41,denied,44
15h 41,echo,3
15h 41,refunded,3
15h 41,approved,355
15h 42,reversed,2
15h 42,denied,40
15h 42,backend_reversed,1
15h 42,approved,394
15h 43,refunded,1
15h 43,denied,50
15h 43,approved,443
15h 44,refunded,1
15h 44,reversed,2
15h 44,denied,40
15h 44,backend_reversed,1
15h 44,approved,413
15h 45,approved,436
15h 45,denied,42
15h 45,reversed,2
15h 46,refunded,3
15h 46,denied,30
15h 46,backend_reversed,1
15h 46,reversed,4
15h 46,approved,409
15h 47,denied,46
15h 47,backend_reversed,1
15h 47,approved,391
15h 47,reversed,1
15h 48,denied,52
15h 48,reversed,3
15h 48,refunded,3
15h 48,approved,429
15h 49,reversed,3
15h 49,denied,49
15h 49,refunded,1
15h 49,approved,433
15h 50,approved,414
15h 50,denied,53
15h 50,refunded,1
15h 50,reversed,2
15h 51,approved,385
15h 51,reversed,2
15h 51,denied,52
15h 51,refunded,2
15h 52,approved,416
15h 52,denied,41
15h 53,reversed,1
15h 53,approved,358
15h 53,denied,47
15h 54,approved,375
15h 54,reversed,2
15h 54,denied,38
15h 55,refunded,1
15h 55,denied,52
15h 55,approved,408
15h 55,reversed,2
15h 56,denied,63
15h 56,refunded,1
15h 56,reversed,5
15h 56,approved,404
15h 57,refunded,2
15h 57,denied,50
15h 57,approved,427
15h 57,echo,3
15h 58,denied,44
15h 58,approved,400
15h 58,reversed,1
15h 59,denied,48
15h 59,approved,401
15h 59,reversed,2
15h 59,refunded,3
16h 00,reversed,3
16h 00,refunded,1
16h 00,approved,379
16h 00,denied,47
16h 01,approved,414
16h 01,reversed,5
16h 01,denied,42
16h 01,refunded,3
16h 02,approved,390
16h 02,reversed,1
16h 02,refunded,3
16h 02,denied,47
16h 03,denied,41
16h 03,approved,397
16h 03,refunded,2
16h 03,reversed,2
16h 04,refunded,1
16h 04,approved,413
16h 04,reversed,2
16h 04,denied,41
16h 04,backend_reversed,3
16h 05,reversed,3
16h 05,refunded,3
16h 05,denied,44
16h 05,approved,411
16h 06,reversed,2
16h 06,approved,459
16h 06,denied,53
16h 06,refunded,1
16h 07,denied,44
16h 07,approved,427
16h 08,approved,417
16h 08,denied,40
16h 08,reversed,3
16h 09,denied,44
16h 09,approved,398
16h 09,refunded,1
16h 09,reversed,3
16h 10,refunded,1
16h 10,approved,438
16h 10,denied,45
16h 10,reversed,4
16h 11,denied,48
16h 11,approved,452
16h 11,reversed,4
16h 12,approved,425
16h 12,echo,3
16h 12,reversed,5
16h 12,refunded,1
16h 12,denied,50
16h 13,reversed,1
16h 13,denied,45
16h 13,refunded,1
16h 13,backend_reversed,1
16h 13,approved,416
16h 14,denied,41
16h 14,reversed,3
16h 14,refunded,1
16h 14,approved,428
16h 15,refunded,1
16h 15,approved,431
16h 15,reversed,4
16h 15,denied,36
16h 16,refunded,2
16h 16,approved,455
16h 16,denied,53
16h 17,reversed,2
16h 17,denied,36
16h 17,approved,437
16h 18,approved,422
16h 18,refunded,1
16h 18,denied,48
16h 18,reversed,3
16h 19,approved,436
16h 19,refunded,2
16h 19,reversed,4
16h 19,denied,36
16h 20,reversed,3
16h 20,denied,44
16h 20,refunded,1
16h 20,backend_reversed,1
16h 20,approved,436
16h 21,approved,454
16h 21,denied,42
16h 22,approved,428
16h 22,backend_reversed,1
16h 22,denied,41
16h 22,failed,1
16h 23,approved,421
16h 23,refunded,1
16h 23,backend_reversed,1
16h 23,reversed,7
16h 23,denied,41
16h 24,reversed,7
16h 24,denied,42
16h 24,refunded,3
16h 24,approved,426
16h 25,approved,492
16h 25,denied,38
16h 25,backend_reversed,1
16h 25,reversed,5
16h 26,echo,3
16h 26,approved,385
16h 26,denied,40
16h 26,reversed,4
16h 27,approved,429
16h 27,reversed,2
16h 27,denied,49
16h 28,reversed,4
16h 28,approved,449
16h 28,denied,46
16h 29,approved,443
16h 29,backend_reversed,1
16h 29,denied,51
16h 29,reversed,2
16h 30,approved,442
16h 30,denied,45
16h 30,reversed,1
16h 30,refunded,3
16h 31,denied,39
16h 31,refunded,1
16h 31,backend_reversed,1
16h 31,approved,447
16h 31,reversed,2
16h 32,denied,44
16h 32,refunded,1
16h 32,backend_reversed,2
16h 32,approved,452
16h 33,approved,442
16h 33,reversed,1
16h 33,backend_reversed,1
16h 33,denied,48
16h 34,approved,431
16h 34,reversed,3
16h 34,denied,59
16h 35,approved,428
16h 35,reversed,4
16h 35,denied,50
16h 35,refunded,1
16h 36,reversed,5
16h 36,approved,419
16h 36,denied,41
16h 37,approved,400
16h 37,denied,46
16h 37,reversed,2
16h 37,refunded,1
16h 38,approved,455
16h 38,reversed,2
16h 38,refunded,1
16h 38,denied,49
16h 39,reversed,2
16h 39,denied,60
16h 39,approved,429
16h 39,refunded,1
16h 40,refunded,2
16h 40,approved,438
16h 40,denied,52
16h 40,reversed,1
