horario,approved,backend_reversed,denied,echo,failed,processing,refunded,reversed
12 49,278.0,,28.0,,,,,1.0
12 50,242.0,,20.0,,,,,2.0
12 51,284.0,,19.0,,,,2.0,
12 52,287.0,,27.0,,,,,1.0
12 53,289.0,,22.0,3.0,,,,1.0
12 54,318.0,,28.0,,,,1.0,
12 55,287.0,,25.0,,,,,
12 56,272.0,,22.0,,,,,1.0
12 57,265.0,,24.0,,,,3.0,2.0
12 58,281.0,,35.0,,,,1.0,1.0
12 59,264.0,,31.0,,,,,1.0
13 00,290.0,,34.0,,,,,2.0
13 01,274.0,,24.0,,,,1.0,2.0
13 02,287.0,,32.0,,,,1.0,1.0
13 03,257.0,,33.0,,,,,
13 04,285.0,1.0,35.0,,,,,
13 05,307.0,,35.0,,,,1.0,2.0
13 06,276.0,,34.0,,,,4.0,1.0
13 07,304.0,1.0,40.0,3.0,,,3.0,1.0
13 08,299.0,1.0,27.0,,,,1.0,
13 09,280.0,,41.0,,,,2.0,3.0
13 10,281.0,1.0,35.0,,,,2.0,2.0
13 11,278.0,1.0,32.0,,,,1.0,
13 12,297.0,1.0,36.0,,,,3.0,1.0
13 13,270.0,,46.0,,,,,1.0
13 14,280.0,1.0,28.0,,,,2.0,1.0
13 15,298.0,,34.0,,,,2.0,2.0
13 16,304.0,,38.0,,,,2.0,1.0
13 17,272.0,,31.0,,,,,
13 18,298.0,,35.0,,,,,2.0
13 19,288.0,1.0,26.0,,,,,1.0
13 20,259.0,3.0,43.0,,,,,2.0
13 21,295.0,4.0,36.0,,,,1.0,1.0
13 22,286.0,1.0,39.0,,,,2.0,3.0
13 23,246.0,,28.0,3.0,,,,
13 24,302.0,,29.0,,,,,1.0
13 25,260.0,,34.0,,,,,1.0
13 26,290.0,,39.0,,,,2.0,
13 27,285.0,,25.0,,,,,2.0
13 28,279.0,,37.0,,,,1.0,1.0
13 29,296.0,,33.0,,,,3.0,1.0
13 30,281.0,,25.0,,,,2.0,2.0
13 31,285.0,,33.0,,,,,
13 32,302.0,,28.0,,,,1.0,1.0
13 33,296.0,,37.0,,,,,
13 34,289.0,,31.0,,,,1.0,2.0
13 35,271.0,1.0,49.0,,,,1.0,2.0
13 36,300.0,,28.0,,,,1.0,1.0
13 37,289.0,1.0,36.0,3.0,,,1.0,3.0
13 38,258.0,,27.0,,,,2.0,4.0
13 39,283.0,,35.0,,,,,1.0
13 40,307.0,,34.0,,,,1.0,1.0
13 41,290.0,,40.0,,,,,
13 42,299.0,1.0,28.0,,,,1.0,
13 43,266.0,,36.0,,1.0,,1.0,1.0
13 44,286.0,,36.0,,,,2.0,
13 45,354.0,1.0,26.0,,1.0,,2.0,1.0
13 46,268.0,,32.0,,,,,1.0
13 47,303.0,,32.0,,,,2.0,2.0
13 48,284.0,,36.0,,1.0,,,7.0
13 49,275.0,1.0,46.0,,,,,
13 50,305.0,,31.0,,,,,1.0
13 51,289.0,,35.0,,1.0,,3.0,
13 52,290.0,1.0,39.0,,,,1.0,1.0
13 53,313.0,2.0,44.0,3.0,,,,
13 54,291.0,,34.0,,,,,1.0
13 55,342.0,3.0,43.0,,,,,2.0
13 56,281.0,3.0,27.0,,,,,1.0
13 57,286.0,,33.0,,,,,1.0
13 58,310.0,,32.0,,,,1.0,3.0
13 59,326.0,,21.0,,1.0,,1.0,2.0
14 00,264.0,1.0,32.0,,,,,
14 01,274.0,,35.0,,,,1.0,2.0
14 02,321.0,,34.0,,,,,1.0
14 03,278.0,,39.0,,1.0,,5.0,4.0
14 04,325.0,,32.0,,,,4.0,1.0
14 05,301.0,,34.0,,,,,3.0
14 06,310.0,,27.0,,,,,1.0
14 07,323.0,,44.0,3.0,,,1.0,2.0
14 08,341.0,,40.0,,,,,1.0
14 09,314.0,,37.0,,,,3.0,1.0
14 10,347.0,,38.0,,,,,2.0
14 11,300.0,,31.0,,,,2.0,
14 12,294.0,,35.0,,,,,2.0
14 13,326.0,,40.0,,,,,2.0
14 14,326.0,,24.0,,,,2.0,
14 15,320.0,,37.0,,,,1.0,1.0
14 16,287.0,,40.0,,,,,
14 17,322.0,,43.0,,,,,1.0
14 18,313.0,,37.0,,,,2.0,3.0
14 19,327.0,,27.0,,,,2.0,
14 20,308.0,1.0,29.0,,,,1.0,1.0
14 21,329.0,,36.0,,,,1.0,3.0
14 22,344.0,1.0,36.0,,,,1.0,3.0
14 23,313.0,,52.0,3.0,,,,1.0
14 24,334.0,,37.0,,,,1.0,
14 25,343.0,,49.0,,,,1.0,1.0
14 26,322.0,,47.0,,,,,3.0
14 27,307.0,1.0,36.0,,,,1.0,4.0
14 28,363.0,1.0,36.0,,,,1.0,2.0
14 29,322.0,2.0,34.0,,,,3.0,3.0
14 30,318.0,,39.0,,,,1.0,2.0
14 31,362.0,1.0,39.0,,,,,1.0
14 32,343.0,1.0,36.0,,,,,3.0
14 33,323.0,,27.0,,,,,1.0
14 34,338.0,,33.0,,,,,1.0
14 35,326.0,,37.0,,,,,1.0
14 36,360.0,,41.0,,,,2.0,1.0
14 37,348.0,,41.0,3.0,,,,3.0
14 38,309.0,,47.0,,,,,2.0
14 39,362.0,,49.0,,,,1.0,2.0
14 40,351.0,,45.0,,,,1.0,1.0
14 41,355.0,,43.0,,,,,1.0
14 42,363.0,,43.0,,,,2.0,4.0
14 43,350.0,,44.0,,,,1.0,4.0
14 44,379.0,,39.0,,,,1.0,4.0
14 45,345.0,,39.0,,,,1.0,2.0
14 46,333.0,,42.0,,,,2.0,
14 47,365.0,,46.0,,,,1.0,
14 48,352.0,,42.0,,,,,1.0
14 49,351.0,,51.0,,,,,1.0
14 50,333.0,,40.0,,,,,1.0
14 51,351.0,1.0,36.0,,,,,2.0
14 52,340.0,,44.0,,,,2.0,2.0
14 53,372.0,,42.0,3.0,,,4.0,1.0
14 54,339.0,,47.0,,,,1.0,1.0
14 55,326.0,1.0,43.0,,,,,1.0
14 56,362.0,,34.0,,,,,3.0
14 57,336.0,,34.0,,,,2.0,3.0
14 58,362.0,1.0,46.0,,,,1.0,3.0
14 59,371.0,,31.0,,,,1.0,1.0
15 00,360.0,,42.0,,,,,3.0
15 01,377.0,,31.0,,,,1.0,
15 02,379.0,1.0,44.0,,,,1.0,2.0
15 03,359.0,,43.0,,,,,3.0
15 04,338.0,,42.0,,,,,
15 05,364.0,,45.0,,,,4.0,5.0
15 06,360.0,,52.0,,,,,4.0
15 07,338.0,,53.0,,,,1.0,2.0
15 08,376.0,2.0,46.0,3.0,,,,2.0
15 09,361.0,,37.0,,,,1.0,2.0
15 10,357.0,,35.0,,,,,2.0
15 11,387.0,,46.0,,,,1.0,
15 12,377.0,,37.0,,,,1.0,1.0
15 13,347.0,,56.0,,,,2.0,1.0
15 14,302.0,1.0,35.0,,,2.0,2.0,10.0
15 15,447.0,,31.0,,,,2.0,3.0
15 16,418.0,,34.0,,,,,5.0
15 17,389.0,,46.0,,,,,5.0
15 18,384.0,,38.0,,,,2.0,
15 19,388.0,,39.0,,,,2.0,
15 20,372.0,,40.0,,,,2.0,2.0
15 21,383.0,,51.0,,,,2.0,
15 22,390.0,1.0,48.0,,,,1.0,4.0
15 23,390.0,,50.0,3.0,,,2.0,3.0
15 24,400.0,,39.0,,,,,2.0
15 25,400.0,,44.0,,,,3.0,
15 26,383.0,1.0,41.0,3.0,,,1.0,2.0
15 27,401.0,1.0,57.0,,,,,
15 28,384.0,2.0,37.0,,,,1.0,4.0
15 29,394.0,,47.0,,,,,2.0
15 30,386.0,,48.0,,,,,3.0
15 31,377.0,,34.0,,,,,2.0
15 32,373.0,,40.0,,,,1.0,1.0
15 33,388.0,1.0,44.0,,,,1.0,2.0
15 34,367.0,2.0,55.0,,,,1.0,4.0
15 35,377.0,1.0,62.0,,,,1.0,
15 36,396.0,,61.0,,,,2.0,
15 37,397.0,,38.0,,,,1.0,1.0
15 38,435.0,,49.0,,,,2.0,4.0
15 39,418.0,,46.0,,,,,
15 40,367.0,,46.0,,,,1.0,1.0
15 41,355.0,,44.0,3.0,,,3.0,
15 42,394.0,1.0,40.0,,,,,2.0
15 43,443.0,,50.0,,,,1.0,
15 44,413.0,1.0,40.0,,,,1.0,2.0
15 45,436.0,,42.0,,,,,2.0
15 46,409.0,1.0,30.0,,,,3.0,4.0
15 47,391.0,1.0,46.0,,,,,1.0
15 48,429.0,,52.0,,,,3.0,3.0
15 49,433.0,,49.0,,,,1.0,3.0
15 50,414.0,,53.0,,,,1.0,2.0
15 51,385.0,,52.0,,,,2.0,2.0
15 52,416.0,,41.0,,,,,
15 53,358.0,,47.0,,,,,1.0
15 54,375.0,,38.0,,,,,2.0
15 55,408.0,,52.0,,,,1.0,2.0
15 56,404.0,,63.0,,,,1.0,5.0
15 57,427.0,,50.0,3.0,,,2.0,
15 58,400.0,,44.0,,,,,1.0
15 59,401.0,,48.0,,,,3.0,2.0
16 00,379.0,,47.0,,,,1.0,3.0
16 01,414.0,,42.0,,,,3.0,5.0
16 02,390.0,,47.0,,,,3.0,1.0
16 03,397.0,,41.0,,,,2.0,2.0
16 04,413.0,3.0,41.0,,,,1.0,2.0
16 05,411.0,,44.0,,,,3.0,3.0
16 06,459.0,,53.0,,,,1.0,2.0
16 07,427.0,,44.0,,,,,
16 08,417.0,,40.0,,,,,3.0
16 09,398.0,,44.0,,,,1.0,3.0
16 10,438.0,,45.0,,,,1.0,4.0
16 11,452.0,,48.0,,,,,4.0
16 12,425.0,,50.0,3.0,,,1.0,5.0
16 13,416.0,1.0,45.0,,,,1.0,1.0
16 14,428.0,,41.0,,,,1.0,3.0
16 15,431.0,,36.0,,,,1.0,4.0
16 16,455.0,,53.0,,,,2.0,
16 17,437.0,,36.0,,,,,2.0
16 18,422.0,,48.0,,,,1.0,3.0
16 19,436.0,,36.0,,,,2.0,4.0
16 20,436.0,1.0,44.0,,,,1.0,3.0
16 21,454.0,,42.0,,,,,
16 22,428.0,1.0,41.0,,1.0,,,
16 23,421.0,1.0,41.0,,,,1.0,7.0
16 24,426.0,,42.0,,,,3.0,7.0
16 25,492.0,1.0,38.0,,,,,5.0
16 26,385.0,,40.0,3.0,,,,4.0
16 27,429.0,,49.0,,,,,2.0
16 28,449.0,,46.0,,,,,4.0
16 29,443.0,1.0,51.0,,,,,2.0
16 30,442.0,,45.0,,,,3.0,1.0
16 31,447.0,1.0,39.0,,,,1.0,2.0
16 32,452.0,2.0,44.0,,,,1.0,
16 33,442.0,1.0,48.0,,,,,1.0
16 34,431.0,,59.0,,,,,3.0
16 35,428.0,,50.0,,,,1.0,4.0
16 36,419.0,,41.0,,,,,5.0
16 37,400.0,,46.0,,,,1.0,2.0
16 38,455.0,,49.0,,,,1.0,2.0
16 39,429.0,,60.0,,,,1.0,2.0
16 40,438.0,,52.0,,,,2.0,1.0
16 41,465.0,,39.0,3.0,,,1.0,2.0
16 42,454.0,,50.0,,,,1.0,3.0
16 43,436.0,,40.0,,,,,3.0
16 44,416.0,,42.0,,,,2.0,2.0
16 45,438.0,,39.0,,,,,2.0
16 46,470.0,,50.0,,,,1.0,2.0
16 47,446.0,,49.0,,,,3.0,3.0
16 48,424.0,,62.0,,,,2.0,1.0
16 49,452.0,,56.0,,,,1.0,3.0
16 50,454.0,2.0,41.0,,,,,2.0
16 51,475.0,1.0,52.0,,,,4.0,1.0
16 52,430.0,1.0,29.0,,,,,2.0
16 53,466.0,1.0,36.0,,,,,2.0
16 54,419.0,1.0,51.0,,,,,4.0
16 55,492.0,1.0,65.0,,,,,3.0
16 56,482.0,,47.0,3.0,,,,2.0
16 57,473.0,,52.0,,,,,8.0
16 58,477.0,1.0,48.0,,,,,3.0
16 59,481.0,2.0,43.0,,,,,
17 00,457.0,,62.0,,,,1.0,6.0
17 01,463.0,1.0,48.0,,,,1.0,4.0
17 02,464.0,,59.0,,,,2.0,4.0
17 03,480.0,,56.0,,,,,4.0
17 04,508.0,,47.0,,,,1.0,1.0
17 05,510.0,,40.0,,1.0,,,3.0
17 06,485.0,,39.0,,,,2.0,6.0
17 07,494.0,1.0,51.0,,,,2.0,3.0
17 08,519.0,,38.0,,,,1.0,6.0
17 09,483.0,,50.0,,,,2.0,3.0
17 10,461.0,,52.0,,,,,1.0
17 11,467.0,,40.0,,,,1.0,6.0
17 12,544.0,1.0,48.0,3.0,,,1.0,3.0
17 13,497.0,,49.0,,,,2.0,2.0
17 14,498.0,,53.0,,,,2.0,5.0
17 15,476.0,2.0,47.0,,,,,2.0
17 16,537.0,1.0,48.0,,,,,
17 17,530.0,,58.0,,,,1.0,6.0
17 18,510.0,,45.0,,,,1.0,1.0
17 19,522.0,1.0,52.0,,,,1.0,3.0
17 20,472.0,,57.0,,,,5.0,2.0
17 21,485.0,,54.0,,,,1.0,2.0
17 22,504.0,,51.0,,,,,3.0
17 23,511.0,,59.0,,,,1.0,3.0
17 24,504.0,,53.0,,,,,3.0
17 25,516.0,,50.0,,,,3.0,1.0
17 26,466.0,,56.0,3.0,,,3.0,6.0
17 27,474.0,,49.0,,,,,
17 28,470.0,1.0,59.0,,,,1.0,
17 29,538.0,,47.0,,,,2.0,3.0
17 30,492.0,1.0,46.0,,,,2.0,3.0
17 31,435.0,,51.0,,,,1.0,2.0
17 32,486.0,,60.0,,,,,1.0
17 33,535.0,,52.0,,,,2.0,3.0
17 34,486.0,1.0,57.0,,,,1.0,
17 35,497.0,,61.0,,,,2.0,2.0
17 36,525.0,,41.0,,,,,6.0
17 37,541.0,,64.0,,,,1.0,2.0
17 38,485.0,1.0,43.0,,,,1.0,1.0
17 39,484.0,,57.0,,,,3.0,3.0
17 40,465.0,,64.0,,,,1.0,3.0
17 41,492.0,,57.0,3.0,,,3.0,4.0
17 42,511.0,,52.0,,,,,2.0
17 43,554.0,,61.0,,,,1.0,
17 44,466.0,,47.0,,,,1.0,5.0
17 45,503.0,,47.0,,,,2.0,1.0
17 46,481.0,,55.0,,,,1.0,2.0
17 47,476.0,,45.0,,,,1.0,1.0
17 48,495.0,,55.0,,,,2.0,2.0
17 49,478.0,,57.0,,,,,1.0
17 50,477.0,,49.0,,,,,1.0
17 51,473.0,,52.0,,,,1.0,4.0
17 52,483.0,,60.0,,,,,
17 53,470.0,,53.0,,,,1.0,
17 54,469.0,2.0,41.0,,,,1.0,2.0
17 55,450.0,1.0,46.0,,,,,7.0
17 56,458.0,,43.0,3.0,,,1.0,1.0
17 57,464.0,,42.0,,,,2.0,2.0
17 58,466.0,,61.0,,,,2.0,1.0
17 59,486.0,1.0,58.0,,,,,1.0
18 00,428.0,,41.0,,,,,1.0
18 01,421.0,1.0,50.0,,,,1.0,1.0
18 02,449.0,,38.0,2.0,,,,3.0
18 03,408.0,,42.0,1.0,,,1.0,2.0
18 04,395.0,,35.0,,,,1.0,3.0
18 05,424.0,,29.0,,,,2.0,1.0
18 06,402.0,,28.0,,,,,3.0
18 07,390.0,,34.0,,,,1.0,3.0
18 08,413.0,,42.0,,,,1.0,1.0
18 09,355.0,,41.0,,,,,1.0
18 10,388.0,,31.0,,,,,4.0
18 11,353.0,,39.0,,,,1.0,5.0
18 12,364.0,,47.0,,,,,3.0
18 13,395.0,,37.0,,,,,1.0
18 14,342.0,,49.0,,,,2.0,4.0
18 15,362.0,,45.0,,,,,2.0
18 16,319.0,,40.0,,,,,3.0
18 17,335.0,,27.0,3.0,,,2.0,2.0
18 18,331.0,1.0,30.0,,,,,
18 19,367.0,,38.0,,,,1.0,
18 20,323.0,1.0,43.0,,,,1.0,2.0
18 21,335.0,1.0,45.0,,,,1.0,
18 22,370.0,,41.0,,,,1.0,2.0
18 23,344.0,,41.0,,,,,7.0
18 24,330.0,,44.0,,,,,2.0
18 25,340.0,1.0,45.0,,,,,3.0
18 26,328.0,,48.0,,,,2.0,1.0
18 27,325.0,,39.0,,,,3.0,2.0
18 28,301.0,,43.0,,,,,1.0
18 29,328.0,,46.0,,,,1.0,3.0
18 30,298.0,,37.0,,,,,2.0
18 31,314.0,,45.0,,,,1.0,
18 32,279.0,,36.0,,,,1.0,
18 33,315.0,,52.0,3.0,,,,
18 34,330.0,,38.0,,,,1.0,2.0
18 35,292.0,,37.0,,,,2.0,2.0
18 36,288.0,,31.0,,,,,1.0
18 37,309.0,,37.0,,,,1.0,1.0
18 38,312.0,,20.0,,,,1.0,3.0
18 39,290.0,,21.0,,,,,1.0
18 40,273.0,,34.0,,,,,1.0
18 41,287.0,1.0,24.0,,,,,3.0
18 42,243.0,,27.0,,,,,3.0
18 43,279.0,1.0,27.0,,,,,1.0
18 44,265.0,,32.0,,,,1.0,1.0
18 45,277.0,2.0,27.0,,,,,1.0
18 46,303.0,,31.0,,,,,2.0
18 47,244.0,,27.0,,,,1.0,1.0
18 48,271.0,,32.0,3.0,,,,
18 49,282.0,,29.0,,,,2.0,
18 50,245.0,,35.0,,,,1.0,
18 51,265.0,,34.0,,,,1.0,
18 52,255.0,,41.0,,,,,1.0
18 53,263.0,,28.0,,,,1.0,1.0
18 54,240.0,,29.0,,,,,
18 55,253.0,,28.0,,,,1.0,1.0
18 56,281.0,,35.0,,,,,2.0
18 57,251.0,,31.0,,,,,2.0
18 58,232.0,,23.0,,,,,1.0
18 59,239.0,,38.0,,,,1.0,2.0
