horario,approved,backend_reversed,denied,echo,failed,processing,refunded,reversed
03 33,,,,3.0,,,,
03 37,2.0,1.0,3.0,,,,,
03 38,2.0,,1.0,,,,,
03 41,1.0,,,,,,,
03 42,2.0,,,,,,,
03 43,,,1.0,,,,,
03 44,2.0,,1.0,,,,,
03 48,2.0,,,3.0,,,,
03 49,1.0,,,,,,,
03 50,1.0,,,,,,,
03 51,1.0,,,,,,,
03 52,1.0,,,,,,,
03 54,1.0,,,,,,,
03 55,,,1.0,,,,,
03 56,1.0,,,,,,,
03 58,,,1.0,,,,,
03 59,,,1.0,,,,,
04 00,1.0,,,,,,,
04 02,,,,3.0,,,,
04 03,2.0,,,,,,,
04 04,1.0,,,,,,,
04 05,2.0,,,,,,,
04 07,1.0,,,,,,,
04 08,,,3.0,,,,,
04 10,3.0,,,,,,,
04 11,1.0,,,,,,,
04 12,1.0,,,,,,,
04 13,1.0,,,,,,,
04 14,1.0,,,,,,,
04 15,2.0,,,,,,,
04 16,2.0,,,,,,,
04 17,2.0,,,3.0,,,,
04 18,2.0,,1.0,,,,,
04 19,6.0,,,,,,,
04 21,1.0,,1.0,,,,,
04 22,1.0,,1.0,,,,,
04 23,3.0,,,,,,,
04 24,1.0,,,,,,,
04 26,1.0,,,,,,,
04 28,1.0,,,,,,,
04 30,1.0,,,,,,,
04 33,,,,3.0,,,,
04 34,1.0,,,,,,,
04 39,3.0,,1.0,,,,,
04 41,1.0,,,,,,,
04 42,2.0,,,,,,,
04 43,1.0,,,,,,,
04 44,1.0,,,,,,,
04 45,1.0,,,,,,,
04 46,1.0,,2.0,,,,,
04 47,1.0,,,,,,,
04 48,2.0,,,,,,,
04 49,,,,3.0,,,,
04 51,2.0,,,,,,,
04 52,,,1.0,,,,,
04 55,1.0,,,,,,,
04 56,2.0,,1.0,,,,,
04 57,2.0,,,,,,,
04 59,1.0,,,,,,,
05 00,3.0,,,,,,,
05 01,,,1.0,,,,,
05 02,2.0,,2.0,,,,,
05 03,1.0,,,3.0,,,,
05 04,2.0,,2.0,,,,,
05 07,3.0,,,,,,,
05 09,2.0,,,,,,,
05 10,2.0,,,,,,,
05 12,3.0,,,,,,,
05 13,1.0,1.0,,,,,,
05 14,1.0,,,,,,,
05 15,,,1.0,,,,,
05 16,3.0,,,,,,,
05 17,3.0,,1.0,,,,,
05 18,,,,3.0,,,,
05 19,1.0,,,,,,,
05 20,1.0,,2.0,,,,,
05 22,2.0,,,,,,,
05 23,1.0,,,,,,,
05 24,1.0,,,,,,,
05 25,1.0,,1.0,,,,,
05 26,2.0,,1.0,,,,,
05 27,5.0,,,,,,,
05 28,2.0,,,,,,,
05 29,1.0,,,,,,,
05 30,,,2.0,,,,,
05 31,1.0,,,,,,,
05 32,3.0,,,,,,,
05 33,3.0,,,,,,,
05 34,4.0,,1.0,3.0,,,,
05 35,1.0,,1.0,,,,,
05 36,1.0,,,,,,,
05 37,6.0,,,,,,,
05 38,8.0,,,,,,,
05 39,3.0,,1.0,,,,,
05 40,4.0,,1.0,,,,,
05 41,4.0,,1.0,,,,,
05 42,4.0,,,,,,,
05 43,3.0,,2.0,,,,,
05 44,7.0,,,,,,,
05 45,3.0,,,,,,,
05 46,3.0,,,,,,,
05 47,4.0,,,,,,,
05 48,4.0,,1.0,3.0,,,,
05 49,5.0,,1.0,,,,,
05 50,11.0,,3.0,,,,,
05 51,6.0,,,,,,,
05 52,8.0,,1.0,,,,,
05 53,8.0,,,,,,,
05 54,6.0,,2.0,,,,,
05 55,8.0,,,,,,,
05 56,4.0,,,,,,,
05 57,11.0,,2.0,,,,,
05 58,8.0,,1.0,,,,,
05 59,6.0,,2.0,,,,,
06 00,7.0,,,,,,,
06 01,12.0,,1.0,,,,,
06 02,6.0,,2.0,,,,,
06 03,7.0,,4.0,3.0,,,,
06 04,8.0,,1.0,,,,,
06 05,10.0,,,,,,,
06 06,4.0,,1.0,,,,,
06 07,16.0,,,,,,,
06 08,11.0,1.0,,,,,,
06 09,16.0,,,,,,,1.0
06 10,9.0,,1.0,,,,,
06 11,12.0,,2.0,,,,,
06 12,14.0,,1.0,,,,,
06 13,11.0,,2.0,,,,,
06 14,16.0,,2.0,,,,,
06 15,14.0,,2.0,,,,,
06 16,12.0,,,,,,,
06 17,16.0,,1.0,,,,,
06 18,9.0,,2.0,3.0,,,,
06 19,13.0,,3.0,,,,,
06 20,15.0,,2.0,,,,,1.0
06 21,22.0,,5.0,,,,,
06 22,11.0,,1.0,,,,,1.0
06 23,13.0,,4.0,,,,,
06 24,18.0,,3.0,,,,,
06 25,18.0,,1.0,,,,,
06 26,19.0,,3.0,,,,,
06 27,18.0,,,,,,,
06 28,18.0,,1.0,,,,,
06 29,21.0,,3.0,,,,,
06 30,22.0,,2.0,,,,,
06 31,21.0,,4.0,,,,,
06 32,19.0,,2.0,,,,,
06 33,25.0,,5.0,3.0,,,,
06 34,25.0,,4.0,,,,,
06 35,24.0,,3.0,,,,,
06 36,17.0,,1.0,,,,,
06 37,22.0,,3.0,,,,,
06 38,27.0,,2.0,,,,,
06 39,33.0,,,,,,,
06 40,37.0,,3.0,,,,,
